movie_id,title,keyword
1955,The Elephant Man,19th century
1955,The Elephant Man,dignity
152532,Dallas Buyers Club,women
152532,Dallas Buyers Club,aids
152532,Dallas Buyers Club,biography
152532,Dallas Buyers Club,based on true story
152532,Dallas Buyers Club,hiv
152532,Dallas Buyers Club,drug
152532,Dallas Buyers Club,1980s
243940,The Lazarus Effect,terror
243940,The Lazarus Effect,experiment
243940,The Lazarus Effect,afterlife
243940,The Lazarus Effect,paranormal
243940,The Lazarus Effect,violence
243940,The Lazarus Effect,death
243940,The Lazarus Effect,evil
243940,The Lazarus Effect,researcher
243940,The Lazarus Effect,possesion
77,Memento,individual
77,Memento,insulin
77,Memento,tattoo
77,Memento,waitress
77,Memento,amnesia
77,Memento,motel
77,Memento,insurance salesman
77,Memento,revenge
77,Memento,memory loss
77,Memento,polaroid
77,Memento,flashback
77,Memento,neo-noir
157547,Oculus,hallucination
157547,Oculus,supernatural
157547,Oculus,mirror
157547,Oculus,skepticism
157547,Oculus,ghost
2295,Clerks II,independent film
2295,Clerks II,aftercreditsstinger
2295,Clerks II,duringcreditsstinger
71,Billy Elliot,workers' quarter
71,Billy Elliot,dancing class
71,Billy Elliot,strike
71,Billy Elliot,northern england
71,Billy Elliot,scholarship
71,Billy Elliot,ballet
147773,The Way Way Back,shyness
147773,The Way Way Back,beach
147773,The Way Way Back,bicycle
147773,The Way Way Back,conversation
147773,The Way Way Back,friendship
147773,The Way Way Back,step father
147773,The Way Way Back,vacation
147773,The Way Way Back,job
147773,The Way Way Back,neighbor
147773,The Way Way Back,summer
147773,The Way Way Back,teenager
147773,The Way Way Back,water park
147773,The Way Way Back,awkwardness
24266,The Man from Snowy River,regret
24266,The Man from Snowy River,river
24266,The Man from Snowy River,horse
24266,The Man from Snowy River,ranch
24266,The Man from Snowy River,australia
24266,The Man from Snowy River,brumby
24266,The Man from Snowy River,brumbies
24266,The Man from Snowy River,colt
24266,The Man from Snowy River,stockman
24266,The Man from Snowy River,clancy of the overflow
16508,Doug's 1st Movie,journalism
16508,Doug's 1st Movie,dance
